Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
151	Jordan Addison	WR	WR46	WR46	WR39	WR-T12	MIN	6	24.6	4	5'11"	179	4.49	1	-45	96.9	93.1	14	105.63	71	165	91	120.5	80				
152	Deshaun Watson	QB	QB34	QB34	QB31	QB-T9	CLE	11	31.0	10	6'3"	223	4.66	1	138	96.4			289.72	221	346	387	170.1	10			2026 NFL Comeback Player of Year trends; odds: Sportsbook rooting against Patrick Mahomes; Deshaun Watson (rss:cbs)	https://www.cbssports.com/betting/news/2026-nfl-comeback-player-of-year-trends-odds-sportsbook-rooting-against-patrick-mahomes-deshaun-watson/
153	Makai Lemon	WR	WR47	WR47	WR52	WR-T12	PHI	10	22.2	R	5'11"	192		1	-43	94.3			109.7	71	149	157	132.3	78				
154	Aaron Jones Sr.	RB	RB40	RB40	RB41	RB-T11	MIN	6	31.7	10	5'9"	208	4.56	1	-38	93.8	90.7	12	115.78	77	156	152	114.4	74				
155	KC Concepcion	WR	WR48	WR48	WR49	WR-T12	CLE	11	21.9	R	6'0"	190		1	-37	92.1			118.1	71	289	141	146.7	66				
156	Khalil Shakir	WR	WR49	WR49	WR46	WR-T12	BUF	7	26.6	5	6'0"	190	4.43	1	-33	91.4	94.4	16	123.36	83	201	111	139.9	60				
157	Kyle Monangai	RB	RB41	RB41	RB34	RB-T11	CHI	10	24.2	2	5'8"	207	4.6	1	-40	90.7	124.7	17	116.95	84	162	130	123.8	80				
158	Shedeur Sanders	QB	QB35	QB35	QB33	QB-T9	CLE	11	24.6	2	6'2"	212		1	140	90.5	86.9	8	297.94	204	348	429	169.9	6				
159	Jalen Coker	WR	WR50	WR50	WR56	WR-T12	CAR	5	24.8	3	6'3"	213	4.57	1	-34	90.4	55.4	11	124.68	81	176	162	154.6	50				
160	Romeo Doubs	WR	WR51	WR51	WR55	WR-T12	NE	11	26.4	5	6'2"	210		1	-33	88.1	108.4	16	127.35	81	176	160	147.6	59				
161	Woody Marks	RB	RB42	RB42	RB42	RB-T11	HOU	8	25.7	2	5'10"	208	4.54	1	-24	88.0	121.1	16	137.25	93	168	153	151.7	51				
162	Matthew Golden	WR	WR52	WR52	WR38	WR-T12	GB	11	23.1	2	5'11"	191	4.29	1	-33	86.6	41.0	14	128.79	76	195	90	112.0	74				
163	Tyler Allgeier	RB	RB43	RB43	RB49	RB-T11	ARI	14	26.4	5	5'10"	225	4.6	1	-24	86.0	109.0	17	138.72	117	177	200	162.7	44				
164	Xavier Worthy	WR	WR53	WR53	WR43	WR-T12	KC	5	23.3	3	5'11"	165	4.21	1	-35	85.7	67.9	14	129.35	91	184	108	130.3	65			Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ... (rss:espn)	https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
165	De'Zhaun Stribling	WR	WR54	WR54	WR40	WR-T12	SF	8	23.7	R	6'2"	207		1	-32	84.9			132.96	71	281	92	139.3	50				
166	Tyjae Spears	RB	RB44	RB44	RB46	RB-T11	TEN	9	25.2	4	5'11"	200		1	-27	84.8	66.7	13	139.37	93	197	180	146.7	41				
167	Chris Rodriguez Jr.	RB	RB45	RB45	RB45	RB-T11	JAC	7	26.9	4	5'11"	224		1	-27	84.0	89.0	12	140.02	102	228	177	164.4	45				
168	Jordyn Tyson	WR	WR55	WR55	WR64	WR-T12	NO	8	22.1	R	6'2"	200		1	-33	82.9			135.15	91	241	197	168.0	68	DROP			
169	Deebo Samuel Sr.	WR	WR56	WR56	WR54	WR-T12	SF	8	30.6	8	6'0"	215	4.48	1	-30	81.6	116.2	16	138.51	81	232	159	142.8	60				
170	Dylan Sampson	RB	RB46	RB46	RB55	RB-T11	CLE	11	22.0	2	5'8"	201		1	-21	81.5	54.6	15	148.86	93	219	221	169.2	19				
171	Carson Beck	QB	QB36	QB36	QB37	QB-T9	ARI	14	24.8	R	6'4"	233		1	148	81.5			318.85	244	359	451	170.0	7				
172	Keaton Mitchell	RB	RB47	RB47	RB50	RB-T11	LAC	7	24.6	4	5'8"	191	4.37	1	-21	79.3	46.4	13	151.49	102	301	202	169.3	34	ADD			
173	Rashid Shaheed	WR	WR57	WR57	WR57	WR-T12	SEA	11	28.0	5	6'0"	180		1	-24	78.9	85.6	18	148.75	123	205	163	160.7	48				
174	Denzel Boston	WR	WR58	WR58	WR59	WR-T12	CLE	11	22.7	R	6'4"	215		1	-23	78.8			150.61	100	305	183	169.1	36				
175	Zach Charbonnet	RB	RB48	RB48	RB43	RB-T11	SEA	11	25.6	4	6'1"	220	4.53	1	-21	77.8	159.4	16	154.18	117	275	175	153.1	58				
176	Tre Tucker	WR	WR59	WR59	WR65	WR-T12	LV	13	25.5	4	5'8"	177	4.4	1	-13	77.2	104.7	17	162.97	116	247	198	169.3	22	ADD			
177	Jauan Jennings	WR	WR60	WR60	WR73	WR-T12	MIN	6	29.1	6	6'3"	212	4.72	1	-10	76.8	116.3	15	166.54	109	282	283	171.1	25				
178	Jonah Coleman	RB	RB49	RB49	RB51	RB-T11	DEN	10	23.0	R	5'8"	220		1	-22	76.1			156.36	116	304	204	166.8	31				
179	J.J. McCarthy	QB	QB37	QB37	QB36	QB-T9	MIN	6	23.6	3	6'3"	219		1	147	76.0	127.4	10	326.11	281	374	447	169.9	4			Vikings GM expects McCarthy on Week 1 roster (rss:espn)	https://www.espn.com/nfl/story/_/id/49805381/vikings-gm-expects-mccarthy-week-1-roster-develop
180	Adonai Mitchell	WR	WR61	WR61	WR62	WR-T12	NYJ	13	23.9	3	6'2"	205	4.34	1	-13	75.6	54.9	16	166.84	110	232	189	171.2	15				
181	Jerry Jeudy	WR	WR62	WR62	WR60	WR-T12	CLE	11	27.4	7	6'1"	195	4.45	1	-13	74.6	70.7	17	167.97	121	262	184	168.7	28	DROP			
182	Tyrone Tracy Jr.	RB	RB50	RB50	RB74	RB-T11	NYG	8	26.8	3	5'11"	210	4.48	1	-20	74.4	124.8	15	162.2	117	274	349	170.4	32				
183	Jalen McMillan	WR	WR63	WR63	WR58	WR-T12	TB	10	24.7	3	6'1"	192	4.47	1	-10	73.4	17.9	4	172.6	133	293	164	164.1	22			Todd Bowles: Emeka Egbuka; Jalen McMillan "headed in the right direction" (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/todd-bowles-emeka-egbuka-jalen-mcmillan-headed-in-the-right-direction
