Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
184	Kayshon Boutte	WR	WR64	WR64	WR80	WR-T12	HOU	8	24.3	4	5'11"	203	4.5	1	-5	72.2	91.1	14	179.43	126	273	304	170.6	17				
185	Isiah Pacheco	RB	RB51	RB51	RB69	RB-T11	DET	6	27.5	5	5'10"	210	4.37	1	-21	72.1	68.3	13	163.96	127	252	341	159.8	39	DROP			
186	Omar Cooper Jr.	WR	WR65	WR65	WR79	WR-T12	NYJ	13	22.7	R	6'0"	199	4.42	1	-5	71.5			180.82	126	315	302	171.2	24	DROP			
187	Mac Jones	QB	QB38	QB38	QB40	QB-T9	SF	8	28.0	6	6'3"	220	4.72	1	147	70.8	132.0	11	333.51	294	378	455	170.0	2				
188	Tre' Harris	WR	WR66	WR66	WR76	WR-T12	LAC	7	24.5	2	6'3"	210		1	-7	70.3	39.4	16	181.2	121	273	290	171.2	9				
189	Ryan Flournoy	WR	WR67	WR67	WR77	WR-T12	DAL	14	26.8	3	6'1"	205	4.44	1	-4	68.9	74.0	15	184.82	136	328	293	171.1	9				
190	Mike Washington Jr.	RB	RB52	RB52	RB47	RB-T11	LV	13	73.2	9	6'2"	197	4.33	1	-25	68.7			165.41	101	308	181	164.0	43				
191	Dontayvion Wicks	WR	WR68	WR68	WR69	WR-T12	PHI	10	25.2	4	6'1"	206	4.62	1	-4	68.1	45.8	13	186.73	107	289	214	171.0	13				
192	Alvin Kamara	RB	RB53	RB53	RB57	RB-T11	NO	8	31.1	10	5'10"	215	4.56	1	-26	67.7	67.7	11	166.12	117	278	260	161.2	41	DROP			
193	Travis Hunter	WR	WR69	WR69	WR44	WR-T12	JAC	7	23.3	2	6'1"	185		1	-3	67.3	35.8	7	189.75	96	305	109	118.9	66	DROP		Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ... (rss:espn)	https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
194	Jalen Nailor	WR	WR70	WR70	WR66	WR-T12	LV	13	27.5	5	5'11"	186	4.5	1	-4	66.6	69.7	17	190.27	116	302	199	171.2	28	ADD			
195	Tank Bigsby	RB	RB54	RB54	RB53	RB-T11	PHI	10	24.0	4	5'11"	215	4.56	1	-23	65.9	50.8	15	171.53	133	243	206	169.6	30	DROP			
196	Malik Washington	WR	WR71	WR71	WR81	WR-T12	MIA	6	25.9	3	5'8"	195	4.47	1	-5	65.5	64.7	17	190.64	128	289	305	170.1	17	ADD			
197	AJ Barner	TE	TE22	TE22	TE26	TE-T9	SEA	11	24.3	3	6'6"	251		1	11	65.4	95.3	17	208.19	124	268	312	169.8	21				
198	Pat Bryant	WR	WR72	WR72	WR94	WR-T12	DEN	10	23.7	2	6'2"	200	4.61	1	-7	65.0	43.8	13	190.7	116	293	370	170.4	8				
199	Braelon Allen	RB	RB55	RB55	RB52	RB-T11	NYJ	13	22.6	3	6'1"	235		1	-24	64.7	13.3	4	175.43	122	288	205	170.9	16				
