Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
34,Chase Brown,RB,RB12,RB6,RB14,RB-T3,CIN,6,26.4,4,5'10",211,4.43,42,-17,13.6,-20,593,170.2,50.6,171.4,285.3,248.1,17,17.05,7,34,23,17.9,100,,,,,RB
35,Trevor Lawrence,QB,QB9,QB9,QB8,QB-T2,JAC,7,26.9,6,6'6",220,,41,41,86.4,51,-575,273.6,97.1,285.8,409.8,338.2,17,76.37,37,114,93,103.5,92,,,,,QB
36,Malik Nabers,WR,WR13,WR13,WR11,WR-T3,NYG,8,23.1,3,6'0",200,,41,-12,26.1,-10,-92,174.5,83.4,175,259.3,48.1,4,24.25,11,48,27,35.9,99,,,,,WR
37,Kenneth Walker III,RB,RB13,RB9,RB11,RB-T3,KC,5,25.9,5,5'9",211,4.38,41,-12,20.3,-17,119,169.2,51.6,169,287.5,176.4,17,24.95,11,50,18,24.3,100,,,,,RB
38,Colston Loveland,TE,TE3,TE3,TE3,TE-T2,CHI,10,22.4,2,6'6",241,,41,-2,59.8,22,-529,151.3,72.3,155,236.1,136.1,16,36.28,22,85,50,42.1,100,,,,,TE
39,Tetairoa McMillan,WR,WR14,WR19,WR17,WR-T3,CAR,5,23.4,2,6'5",212,,37,-3,31.8,-7,-276,168.3,80.2,163.9,248.1,178.4,17,35.88,15,52,35,43.1,99,,,,,WR
40,Zay Flowers,WR,WR15,WR15,WR15,WR-T3,BAL,13,26,4,5'9",183,4.42,36,-10,23.9,-16,454,167.3,81.5,164.1,242.3,200.3,17,29.64,12,48,33,43.8,99,,,,,WR
41,Tyler Warren,TE,TE4,TE4,TE4,TE-T2,IND,13,24.3,2,6'6",256,,35,12,70.2,29,-31,143.5,69.6,146.1,219.3,150.5,17,53.36,22,73,51,51.3,99,,,,,TE
42,Garrett Wilson,WR,WR16,WR16,WR18,WR-T3,NYJ,13,26.1,5,6'0",183,4.38,32,-12,28.3,-14,36,161.6,89.8,163.6,232,81.5,7,30.28,12,52,43,37.1,98,,,Jets WR Wilson says goal to make playoffs  calls it 'very realistic' (rss:espn),https://www.espn.com/nfl/story/_/id/49872695/wilson-calls-ending-jets-playoff-drought-very-realistic,WR
43,Javonte Williams,RB,RB14,RB16,RB15,RB-T4,DAL,14,26.4,6,5'10",220,4.55,31,0,28.5,-14,532,154.7,46.7,152.7,264.3,225.3,16,43.43,24,61,30,32.5,99,,,,,RB
44,DeVonta Smith,WR,WR17,WR12,WR19,WR-T4,PHI,10,27.8,,5'11",195,,30,-21,30.9,-13,135,159,84.7,164.6,232.1,163.3,17,22.72,8,45,44,36.2,99,,,,,WR
45,Tee Higgins,WR,WR18,WR20,WR21,WR-T4,CIN,6,27.6,7,6'4",219,,29,-8,35.1,-10,-703,157.4,73.9,162.9,244.5,182.1,15,36.7,19,51,46,53.2,99,,,,,WR
46,Cam Skattebo,RB,RB15,RB20,RB19,RB-T4,NYG,8,24.6,2,5'11",215,,29,11,37.7,-8,-549,152.1,47.3,149.6,263.4,115.7,8,57,39,80,40,45.6,99,,,,,RB
47,Kyle Pitts Sr.,TE,TE5,TE7,TE5,TE-T3,ATL,11,25.9,6,6'6",250,4.44,29,32,94.5,48,-368,135.9,69.5,133.6,209.5,166.8,17,78.83,60,110,78,68.7,97,,,,,TE
48,Jadarian Price,RB,RB16,RB24,RB24,RB-T4,SEA,11,22.9,R,5'11",209,4.49,28,19,56.2,8,30,151.5,54.2,151,258.4,,,67.49,43,99,67,66.5,94,,,,,RB
49,Emeka Egbuka,WR,WR19,WR21,WR16,WR-T4,TB,10,23.9,2,6'1",205,,27,-8,34.2,-15,-435,155.5,71.1,160.9,240.4,164.2,17,40.74,14,68,34,45.6,98,,,,,WR
50,Jaylen Waddle,WR,WR20,WR18,WR25,WR-T4,DEN,10,27.8,6,5'10",185,,26,-16,45.1,-5,515,153.7,71.1,156.9,230.6,162.1,16,33.99,18,60,52,53.8,98,,,,,WR
51,Harold Fannin Jr.,TE,TE6,TE5,TE6,TE-T3,CLE,11,22.1,2,6'4",241,4.71,26,25,76.1,25,-8,132.1,56.6,127.8,210.9,150.4,16,76.23,57,111,79,70.6,97,,,,,TE
52,Jaxson Dart,QB,QB10,QB12,QB7,QB-T3,NYG,8,23.3,2,6'2",223,,24,46,125.9,74,-130,249.5,99.2,260.3,372.7,241.6,14,98.35,59,126,85,81.8,93,,,,,QB
53,Carnell Tate,WR,WR21,WR31,WR29,WR-T4,TEN,9,21.6,R,6'2",192,4.53,24,15,77,24,-894,151.4,62.7,150.3,235.1,,,68.19,45,136,72,81.6,93,,,,,WR
54,Derrick Henry,RB,RB17,RB12,RB5,RB-T4,BAL,13,32.7,11,6'3",252,4.54,24,-16,9.8,-44,658,145.9,50.9,152.5,235.2,272,17,37.64,20,50,11,16.5,100,,,,,RB
55,Travis Etienne Jr.,RB,RB18,RB17,RB16,RB-T4,NO,8,27.6,6,5'10",215,4.45,24,-10,36.7,-18,1011,145.6,54.9,148.8,241.6,235.9,17,45.04,33,61,32,39.4,98,,,,,RB
56,Davante Adams,WR,WR22,WR24,WR14,WR-T4,LAR,11,33.7,13,6'1",204,4.56,23,-5,37.8,-18,93,150,71.9,148.3,231.7,192.9,14,50.83,35,74,31,46.1,97,,,,,WR
57,Ladd McConkey,WR,WR23,WR17,WR22,WR-T4,LAC,7,24.8,,6'0",185,4.39,23,-23,40.1,-17,-193,149.1,61.2,147.9,228.9,147.9,16,33.83,15,52,47,46.5,98,,,,,WR
58,Jameson Williams,WR,WR24,WR26,WR24,WR-T4,DET,6,25.4,5,6'1",184,,23,-5,37.4,-21,-85,148.9,56.1,149.8,229.7,187.4,17,52.92,35,88,49,64.5,96,,,,,WR
59,Bucky Irving,RB,RB19,RB19,RB20,RB-T5,TB,10,24,3,5'10",194,4.55,23,-3,44.7,-14,-117,144.6,40.6,154.4,244.5,123.5,10,56.3,41,89,41,56.6,97,,,,,RB
60,Bo Nix,QB,QB11,QB13,QB10,QB-T3,DEN,10,26.5,3,6'2",217,,22,39,110.4,50,-248,247.7,85.1,260.9,363.1,304.8,17,98.53,70,120,97,104.4,90,,,,,QB
61,Luther Burden III,WR,WR25,WR22,WR27,WR-T5,CHI,10,22.7,2,6'0",210,4.41,22,-14,51.3,-10,-590,148.4,56.2,143.9,229.9,104.4,15,46.7,26,71,54,75,95,,,,,WR
62,Terry McLaurin,WR,WR26,WR23,WR23,WR-T5,WAS,7,31,8,6'0",210,4.35,22,-14,45.1,-17,-585,148.3,58.8,148.2,233.2,95.2,10,47.68,28,68,48,61.2,96,,,,,WR
