Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
247,Malachi Fields,WR,WR70,WR81,WR74,WR-T11,NYG,8,23,R,6'4",222,4.61,1,-24,,,26,84.5,11.5,76.2,168.6,,,222.55,133,354,286,171,9,ADD,,,,WR
248,Terrance Ferguson,TE,TE23,TE22,TE17,TE-T7,LAR,11,23.5,2,6'5",252,4.63,1,-42,173,-75,12,84.2,15,78.9,156.3,46.6,11,205.53,112,287,145,167.3,21,ADD,,,,TE
249,Kirk Cousins,QB,QB43,QB33,QB34,QB-T8,LV,13,38,15,6'3",209,4.84,1,40,,,38,84,0.5,31.9,276.3,103.5,10,289.05,211,347,429,169.9,5,,,,,QB
250,Chris Rodriguez Jr.,RB,RB48,RB45,RB45,RB-T7,JAC,7,25.9,,5'11",224,,1,-109,157.4,-93,173,83.5,3.1,68.8,181.7,90.5,12,141.1,102,234,174,164.3,51,DROP,,,,RB
251,Marcus Mariota,QB,QB44,QB49,QB44,QB-T8,WAS,7,32.8,12,6'4",222,4.52,1,101,,,,82.6,0.5,31.4,271.7,125.5,10,351.89,290,407,482,170,1,,,,,QB
252,Troy Franklin,WR,WR71,WR78,WR107,WR-T11,DEN,10,23.6,3,6'3",180,4.41,1,-33,,,,82.2,12.4,76,166.3,144.6,17,218.75,163,347,980,170.1,3,,,,,WR
253,AJ Barner,TE,TE24,TE23,TE26,TE-T7,SEA,11,24.3,3,6'6",251,,1,-42,,,-36,82,14,70.7,159.6,121.3,17,211.33,144,261,312,169.7,19,,,,,TE
254,Zachariah Branch,WR,WR72,WR87,WR78,WR-T11,ATL,11,22.4,R,5'10",180,4.35,1,-21,,,-2,81.9,11.2,74.2,164,,,233.38,140,312,300,170.7,10,,,,,WR
255,Pat Bryant,WR,WR73,WR68,WR92,WR-T11,DEN,10,23.7,2,6'2",204,4.61,1,-70,,,,81.4,12.9,70.2,163.3,59.3,13,184.61,115,293,369,170.4,7,,,,,WR
256,Theo Johnson,TE,TE25,TE37,TE42,TE-T7,NYG,8,25.5,3,6'6",264,,1,29,,,,81.2,11.7,70.3,168.5,105.3,15,285.13,203,345,464,170.1,3,,,,,TE
257,Jameis Winston,QB,QB45,QB53,QB42,QB-T8,NYG,8,32.7,12,6'4",231,4.97,1,99,,,,80.8,0.5,30.7,265.8,42.8,3,356.46,319,398,476,170,1,,,,,QB
258,Chuba Hubbard,RB,RB49,RB33,RB37,RB-T7,CAR,5,27.2,6,6'1",210,4.48,1,-158,86.3,-172,-409,80.4,3.9,66.7,176.1,110.4,15,99.84,67,145,131,112,88,,,,,RB
259,Jonah Coleman,RB,RB50,RB48,RB51,RB-T7,DEN,10,23,R,5'8",220,,1,-110,157.1,-102,53,80.4,3.9,58,185,,,149.36,116,221,204,162.8,33,,,,,RB
260,Woody Marks,RB,RB51,RB42,RB42,RB-T7,HOU,8,25.7,2,5'10",208,4.54,1,-124,134.8,-125,76,80.4,3.8,60.4,200.3,133.1,16,135.81,102,189,151,152.1,55,,,,,RB
261,Jauan Jennings,WR,WR74,WR63,WR73,WR-T11,MIN,6,29.1,6,6'3",212,4.72,1,-85,151.4,-110,-42,80.4,12.1,75.2,157.9,145.8,15,175.56,115,307,283,171.1,15,,,,,WR
262,Tre' Harris,WR,WR75,WR66,WR76,WR-T11,LAC,7,24.5,2,6'3",210,,1,-80,,,,80.2,11.5,76.1,163.9,54.4,16,182.09,123,303,290,171.1,7,,,,,WR
263,Greg Dulcich,TE,TE26,TE24,TE28,TE-T7,MIA,6,26.4,5,6'4",245,4.69,1,-48,,,,79.9,8.6,62.3,182.1,49.8,9,215.31,131,306,365,170.4,9,,,,,TE
264,Emmett Johnson,RB,RB52,RB57,RB69,RB-T7,KC,5,22.9,R,5'10",202,4.45,1,-80,165.4,-99,93,79.2,4.9,61.9,184.7,,,183.79,132,329,339,169.9,16,,,,,RB
265,Kimani Vidal,RB,RB53,RB60,RB60,RB-T7,LAC,7,25,3,5'8",215,4.46,1,-65,,,,78.5,5.6,62.4,170.2,109.9,13,200.45,152,297,306,171,5,,,,,RB
266,Kenyon Sadiq,TE,TE27,TE26,TE18,TE-T7,NYJ,13,21.5,R,6'3",241,4.39,1,-42,,,-163,77.8,9.1,64.1,160.8,,,223.91,144,295,146,167.2,38,DROP,,,,TE
267,Keon Coleman,WR,WR76,WR93,WR90,WR-T11,BUF,7,23.3,3,6'3",213,4.61,1,-20,,,,77.8,12,73.5,152.3,83.4,12,246.62,149,307,357,170.2,4,,,,,WR
268,Rashid Shaheed,WR,WR77,WR57,WR56,WR-T11,SEA,11,28,5,6'0",180,,1,-121,117.7,-150,12,77.8,10,73.5,149.5,115.1,18,146.98,115,205,160,160.3,51,,,,,WR
269,Michael Mayer,TE,TE28,TE40,TE35,TE-T7,LV,13,25.2,4,6'4",256,4.7,1,28,,,,77.7,9.7,64.3,154.6,56.3,13,297.21,209,351,440,170.2,2,,,,,TE
270,Adonai Mitchell,WR,WR78,WR60,WR61,WR-T11,NYJ,13,23.9,3,6'2",205,4.34,1,-101,159.8,-110,,76.8,9.5,72.7,150.1,71.4,16,169.01,126,258,186,171.2,15,,,,,WR
271,Cade Otton,TE,TE29,TE29,TE29,TE-T7,TB,10,27.4,5,6'5",247,,1,-32,,,,76.7,13.4,63.7,161.8,92.7,15,239.02,181,295,367,170.3,7,,,,,TE
272,Jack Bech,WR,WR79,WR91,WR98,WR-T11,LV,13,23.7,2,6'1",214,,1,-27,,,,76.1,7.9,69,154.7,32.4,14,244.66,180,376,392,170.2,2,,,,,WR
273,Joe Flacco,QB,QB46,QB48,QB39,QB-T8,CIN,6,41.6,19,6'6",245,4.84,1,79,,,,75.9,0.5,28.9,249.7,146.7,13,351.79,288,401,453,170,1,,,,,QB
274,Trey Benson,RB,RB54,RB89,RB100,RB-T7,ARI,14,24.1,3,6'0",225,4.39,1,17,,,,75.9,5.6,61.8,166.6,28.9,4,290.52,212,352,456,170,2,,,,,RB
275,Jaylin Noel,WR,WR80,WR74,WR71,WR-T11,HOU,8,24,2,5'11",200,4.39,1,-75,,,,75,10.2,62.7,166.4,55.4,17,200.36,141,289,219,171.5,7,,,,,WR
276,Oronde Gadsden II,TE,TE30,TE27,TE32,TE-T7,LAC,7,23.2,2,6'5",236,,1,-52,,,-237,74.9,16.2,66.2,154,106.9,15,224.17,131,306,415,170.3,24,DROP,,,,TE
277,Alvin Kamara,RB,RB55,RB52,RB57,RB-T7,NO,8,31.1,10,5'10",215,4.56,1,-109,151.9,-125,-87,74.7,3.8,63.1,162.7,84.2,11,168.28,102,317,260,163.6,39,DROP,,,,RB
278,Jack Strand,QB,QB47,QB54,QB56,QB-T8,ATL,11,22.2,R,6'5",240,,1,79,,,,74.5,0.5,28.3,245.1,,,356.5,347,366,1449,170,0,,,,,QB
279,Dontayvion Wicks,WR,WR81,WR67,WR69,WR-T11,PHI,10,25.2,4,6'1",206,4.62,1,-96,165.2,-114,35,74.2,6.4,59.8,172.3,60.8,13,182.79,109,272,214,170.9,12,,,,,WR
280,Rashod Bateman,WR,WR82,WR85,WR68,WR-T11,BAL,13,26.8,6,6'1",193,4.39,1,-52,142.3,-138,,73.4,6.6,52.8,176.8,45.9,13,227.62,150,321,213,171.4,7,,,,,WR
281,Kyle Monangai,RB,RB56,RB41,RB33,RB-T7,CHI,10,24.2,2,5'8",207,4.6,1,-161,103.5,-177,-178,73.2,3.9,58,158,137.7,17,120.02,86,162,121,125.3,81,,,,,RB
282,Isiah Pacheco,RB,RB57,RB59,RB70,RB-T7,DET,6,27.5,5,5'10",210,4.37,1,-90,,,-78,73,4.1,56.1,161.8,77.8,13,192.34,143,311,340,166.5,33,ADD,,,,RB
283,Gunnar Helm,TE,TE31,TE25,TE25,TE-T7,TEN,9,24,2,6'5",241,4.84,1,-63,,,,73,16.2,64,142,69.7,16,220.35,143,305,311,170.6,7,,,,,TE
284,Jaylen Wright,RB,RB58,RB70,RB61,RB-T7,MIA,6,23.4,3,5'10",208,4.38,1,-45,,,,72.6,3.9,62.8,154,45.7,9,238.65,164,310,307,170.7,4,,,,,RB
285,Jacory Croskey-Merritt,RB,RB59,RB39,RB36,RB-T7,WAS,7,25.4,2,5'11",208,,1,-170,103.3,-182,121,72.5,4.2,62.2,154.6,135.8,17,114.54,67,141,130,138,79,,,,,RB
286,Jake Tonges,TE,TE32,TE39,TE36,TE-T7,SF,8,27.2,4,6'4",240,,1,7,,,,72.5,14.7,60.2,141.9,76.3,10,292.55,158,356,441,170.1,3,,,,,TE
287,Trey Lance,QB,QB48,QB57,QB47,QB-T8,LAC,7,26.3,6,6'4",226,,1,77,,,,72.3,0.5,27.5,237.8,13.5,4,364,356,372,1222,170,1,,,,,QB
288,Isaac TeSlaa,WR,WR83,WR80,WR91,WR-T11,DET,6,24.5,2,6'4",214,4.43,1,-68,182.4,-106,,72.3,6.7,51.7,177.8,67.9,14,219.56,168,282,368,170.3,7,,,,,WR
289,Tank Dell,WR,WR84,WR84,WR97,WR-T11,HOU,8,26.8,4,5'10",165,,1,-63,,,-50,72.1,6.5,51.9,172.7,,,226.41,166,312,391,164.7,27,ADD,,,,WR
290,Emari Demercado,RB,RB60,RB94,RB81,RB-T7,DAL,14,27.6,4,5'9",215,,1,4,,,,71.8,5.6,62.2,159,51.8,12,293.96,169,379,355,170.2,1,,,,,RB
291,Cade Klubnik,QB,QB49,QB50,QB52,QB-T8,NYJ,13,22.9,R,6'2",207,,1,62,,,,71.5,0.5,27.2,235.2,,,352.76,297,388,1259,170,1,,,,,QB
292,Evan Engram,TE,TE33,TE31,TE31,TE-T7,DEN,10,32,10,6'3",240,4.42,1,-37,,,,71,16.2,55.8,150.7,77.8,16,255.13,181,336,413,170,4,,,,,TE
293,Ryan Flournoy,WR,WR85,WR69,WR77,WR-T11,DAL,14,26.8,3,6'1",205,4.44,1,-107,166.7,-126,,71,5.9,51.3,154.3,94,15,185.74,126,327,293,171,8,,,,,WR
294,Tank Bigsby,RB,RB61,RB53,RB53,RB-T7,PHI,10,25,,5'11",215,4.56,1,-123,167.6,-126,68,69.8,4.7,55.5,162.5,52.3,15,170.74,131,257,206,169.6,30,DROP,,,,RB
295,Pat Freiermuth,TE,TE34,TE28,TE22,TE-T7,PIT,9,27.9,6,6'5",258,,1,-61,,,,69.8,13.6,51.2,153,93.1,15,233.5,138,332,296,169.7,11,,,,,TE
296,Ray Davis,RB,RB62,RB58,RB54,RB-T7,BUF,7,26.8,,5'8",211,,1,-106,,,,69.6,3.2,51.1,166.5,53.1,17,190.37,134,263,220,170.9,13,,,,,RB
297,Kendre Miller,RB,RB63,RB84,RB84,RB-T7,NO,8,24.2,4,6'0",220,,1,-19,,,,69.5,3,44,173.2,30.8,7,278.05,189,381,395,170.2,2,,,,,RB
298,Anthony Richardson Sr.,QB,QB50,QB45,QB43,QB-T8,IND,13,24.3,4,6'4",244,4.43,1,49,,,,69.1,0.4,26.3,227.3,1.7,2,347.16,291,386,477,170,2,,,,,QB
299,Ollie Gordon II,RB,RB64,RB75,RB62,RB-T7,MIA,6,22.6,2,6'2",225,4.61,1,-41,,,,69,2.9,50.5,188.6,50.6,17,258.43,177,322,308,170.7,2,,,,,RB
300,Calvin Ridley,WR,WR86,WR77,WR60,WR-T11,TEN,9,31.7,8,6'1",190,4.43,1,-90,134.6,-165,,68.6,7.1,52.9,154.5,38.8,7,209.81,136,302,184,170.3,12,,,,,WR
301,Tory Horton,WR,WR87,WR96,WR99,WR-T11,SEA,11,23.8,2,6'2",196,4.41,1,-37,,,,68.4,6.9,58.1,145.5,52.6,8,263.77,197,351,394,170.2,3,,,,,WR
302,Demond Claiborne,RB,RB65,RB74,RB86,RB-T7,MIN,6,22.9,R,5'10",188,4.37,1,-49,,,,67.7,3.1,47.5,191,,,253.21,156,323,397,170.2,4,,,,,RB
303,Malik Washington,WR,WR88,WR70,WR81,WR-T11,MIA,6,25.7,,5'8",195,4.47,1,-114,148.4,-155,39,67.2,8.7,61.7,147.3,87.7,17,189.21,83,296,305,169.9,19,DROP,,,,WR
304,Jalen Nailor,WR,WR89,WR72,WR66,WR-T11,LV,13,27.5,5,6'0",190,4.5,1,-110,150.3,-154,-139,66.1,6.5,58.5,141.5,86.2,17,194.41,128,302,199,171.2,24,DROP,,,,WR
305,Kaelon Black,RB,RB66,RB64,RB59,RB-T7,SF,8,24.9,R,5'9",208,,1,-77,160,-145,230,66,3.1,38.7,184.2,,,227.97,132,338,269,169.9,16,ADD,,,,RB
306,Devaughn Vele,WR,WR90,WR92,WR70,WR-T11,NO,8,28.7,3,6'5",210,4.47,1,-61,,,44,65.9,5.4,58.5,149.9,53.8,9,245.27,163,312,215,171.5,8,ADD,,,,WR
307,Najee Harris,RB,RB67,RB67,RB56,RB-T7,NYG,8,28.5,6,6'1",232,,1,-71,,,6,65.5,4.3,44.6,170,10.1,3,235.92,141,327,222,170,11,,,,,RB
308,Elijah Sarratt,WR,WR91,WR98,WR129,WR-T11,BAL,13,23.3,R,6'2",215,,1,-40,,,,65.5,5.2,55.3,153.6,,,268.32,202,370,1094,170,3,,,,,WR
309,DJ Giddens,RB,RB68,RB85,RB89,RB-T7,IND,13,23,2,6'1",212,4.43,1,-30,,,,65.1,4.9,45.9,150.1,9.6,5,278.91,213,338,402,170.1,1,,,,,RB
310,Sean Tucker,RB,RB69,RB61,RB76,RB-T7,TB,10,24.9,4,5'10",205,,1,-97,,,,64.8,5,43.1,153.8,87.4,17,213.05,154,304,349,170.3,4,,,,,RB
311,Mike Gesicki,TE,TE35,TE35,TE33,TE-T7,CIN,6,30.9,9,6'6",245,4.54,1,-33,,,,64.8,13.5,52.4,140.4,56.7,12,277.84,236,357,416,170.2,3,,,,,TE
312,Jaydon Blue,RB,RB70,RB82,,RB-T7,PHI,10,22.6,2,5'9",198,4.38,1,-40,,,,64.7,3.4,42.8,161.4,19.9,5,272.35,175,412,,,4,DROP,,,,RB
313,Tyler Allgeier,RB,RB71,RB43,RB49,RB-T7,ARI,14,26.4,5,5'10",225,4.6,1,-176,155.9,-157,346,64.5,3.9,46.7,158.1,116,17,136.5,99,182,200,163.3,48,ADD,,Cardinals list Tyler Allgeier as RB1  Jeremiyah Love as RB2 on Week 1 depth chart (rss:pft),https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/cardinals-list-tyler-allgeier-as-rb1-jeremiyah-love-as-rb2-on-week-1-depth-chart,RB
314,Elic Ayomanor,WR,WR92,WR95,WR130,WR-T11,TEN,9,23.2,2,6'2",206,4.44,1,-60,,,,64.1,5.1,54.2,154.1,96,16,254.04,184,333,1101,170,2,,,,,WR
315,Taylen Green,QB,QB51,QB40,QB55,QB-T8,CLE,11,23.9,R,6'6",230,4.36,1,23,,,,63.9,0.4,24.3,210.2,,,338.33,324,353,1436,170,2,,,,,QB
316,Colby Parkinson,TE,TE36,TE32,TE34,TE-T7,LAR,11,27.6,,6'7",265,4.77,1,-50,,,,63.2,13.2,46.2,140.1,108.3,14,266.14,215,309,417,170.2,4,,,,,TE
317,Jacob Saylors,RB,RB72,RB88,RB72,RB-T7,DET,6,25.5,,5'11",195,,1,-31,,,,63,3,40.5,167.2,1.1,11,286.24,156,370,343,170.3,4,,,,,RB
318,Nicholas Singleton,RB,RB73,RB62,RB83,RB-T7,TEN,9,22.7,R,6'0",219,,1,-99,,,,62.9,3.2,42.7,162.7,,,218.92,148,321,377,170.2,9,,,,,RB
319,Chimere Dike,WR,WR93,WR94,WR116,WR-T11,TEN,9,24.7,2,6'1",196,4.34,1,-67,,,,61.8,3.4,49.6,147,92.1,17,252.17,174,346,1022,169.9,4,,,,,WR
320,Adam Randall,RB,RB74,RB92,RB96,RB-T7,BAL,13,22.1,R,6'3",232,4.5,1,-28,,,,61.7,3.2,42.1,159.3,,,292.06,231,338,435,170.1,2,,,,,RB
321,Eli Stowers,TE,TE37,TE38,TE46,TE-T7,PHI,10,23.4,R,6'4",239,4.51,1,-32,,,,61.6,13.4,49.5,132.5,,,288.95,209,371,468,170,4,,,,,TE
322,Darnell Mooney,WR,WR94,WR83,WR101,WR-T11,NYG,8,28.8,7,5'11",177,4.38,1,-96,,,,61.6,4.2,48.4,134.5,66.3,15,226.23,165,299,418,170.3,4,,,,,WR
323,George Holani,RB,RB75,RB71,RB74,RB-T7,SEA,11,26.7,3,5'10",210,4.52,1,-81,,,2,61.5,3.4,43.1,138.1,13.8,10,241.81,154,329,345,170.3,4,,,,,RB
324,Chris Brooks,RB,RB76,RB73,RB65,RB-T7,GB,11,26.6,4,6'1",219,,1,-73,,,,60.7,3.4,39.9,149,26.2,17,250.89,145,327,321,170.7,5,,,,,RB
325,David Njoku,TE,TE38,TE30,TE30,TE-T7,LAC,7,30.1,12,6'4",246,4.64,1,-71,,,,60.7,13.8,46.5,129.6,69.8,11,254.16,155,355,411,169.8,9,,,,,TE
326,Jalen Royals,WR,WR95,WR134,WR138,WR-T11,KC,5,23.5,2,6'0",195,4.42,1,-3,,,,59.3,4.8,43.9,126.6,1.4,2,323.19,270,386,1141,170,1,,,,,WR
327,Audric Estime,RB,RB77,RB103,RB116,RB-T7,NO,8,23,,,,,1,-16,,,,59.2,1,35,143,,,310.65,251,359,1389,170,2,,,,,RB
328,Dawson Knox,TE,TE39,TE48,TE37,TE-T7,BUF,7,29.8,8,6'4",254,,1,1,,,,59.2,11.3,44,133.4,85.7,16,329.24,260,413,442,169.8,2,,,,,TE
329,Darnell Washington,TE,TE40,TE41,TE39,TE-T7,PIT,9,25,4,6'7",265,4.64,1,-31,,,,58.6,4.5,44.3,127.4,57.9,13,298.26,226,394,458,169.9,3,,,,,TE
330,Cole Kmet,TE,TE41,TE46,TE43,TE-T7,CHI,10,27.5,7,6'6",257,4.7,1,-6,,,,58.5,3.1,46.2,131.3,63.7,16,324.18,256,380,465,169.7,2,,,,,TE
331,Brandon Aiyuk,WR,WR96,WR105,WR150,WR-T11,SF,8,28.5,6,6'0",200,4.5,1,-52,,,,58.5,7.7,44.8,127.2,,,279.1,142,397,1341,170,3,,,,,WR
332,James Conner,RB,RB78,RB63,RB97,RB-T7,ARI,14,31.3,10,6'1",233,4.65,1,-112,,,,58.2,1.1,35.3,167.2,29.3,3,219.9,144,330,436,170,9,,,,,RB
333,Bryce Lance,WR,WR97,WR110,WR114,WR-T11,NO,8,24,R,6'3",204,4.34,1,-48,,,,58.2,5.3,45.9,133.8,,,285.32,174,385,1011,170,1,,,,,WR
334,Darren Waller,TE,TE42,TE33,TE27,TE-T7,CAR,5,34,9,6'6",245,4.46,1,-66,,,,57.9,3.5,40.9,131.8,76.7,9,268.11,209,345,364,170.4,5,ADD,,,,TE
335,Josh Williams,RB,RB79,RB111,,RB-T7,TB,10,25.2,,5'8",210,4.9,1,-14,,,,57.8,0.3,29.2,159,1.1,2,321.25,278,360,,,0,,,,,RB
336,Noah Fant,TE,TE43,TE53,TE56,TE-T7,NO,8,28.8,8,6'4",249,4.5,1,14,,,,57.4,4.9,39.9,133.2,57.8,13,349.73,281,393,1021,170,1,,,,,TE
337,Skyler Bell,WR,WR98,WR112,WR120,WR-T11,BUF,7,24.2,R,5'11",192,4.4,1,-47,,,,57.2,3.6,43.8,136.6,,,289.88,218,371,1047,170,3,,,,,WR
338,Devin Neal,RB,RB80,RB83,,RB-T7,FA,,23.1,R,5'11",213,4.58,1,-62,,,,57,0.4,29.2,134.4,51.5,9,276.42,201,382,,,2,,,,,RB
339,Justice Hill,RB,RB81,RB65,RB58,RB-T7,BAL,13,28.8,8,5'10",195,4.4,1,-105,,,,56.9,0.6,31,153.5,54.7,10,233.86,132,317,265,170.1,10,ADD,,,,RB
340,Raheim Sanders,RB,RB82,RB119,RB118,RB-T7,CLE,11,24.2,2,6'0",230,4.46,1,-8,,,,56,0.6,38.5,128.4,18.8,4,331.7,274,387,1417,170,1,,,,,RB
341,Malik Benson,WR,WR99,WR128,WR104,WR-T11,LV,13,23.9,R,6'1",195,4.37,1,-24,,,,56,4,45.4,138.1,,,317.06,232,432,978,170,1,,,,,WR
342,Tyquan Thornton,WR,WR100,WR97,WR89,WR-T11,KC,5,26.1,5,6'2",185,4.28,1,-76,,,,55.9,3.7,44.9,134.9,71.3,12,265.74,166,341,356,170.3,2,,,,,WR
343,Isaiah Bond,WR,WR101,WR115,WR118,WR-T11,CLE,11,22.5,2,5'11",180,4.39,1,-47,,,,55.8,3.3,48.5,135.8,45.7,15,295.52,244,373,1038,170,1,,,,,WR
344,Brian Robinson Jr.,RB,RB83,RB56,RB48,RB-T7,ATL,11,27.4,3,6'1",225,4.53,1,-162,165.9,-178,18,54.6,3.4,37.3,154.6,58.5,17,182.38,141,263,179,168,34,DROP,,,,RB
345,Barion Brown,WR,WR102,WR126,WR134,WR-T11,NO,8,22.7,R,5'11",177,4.4,1,-29,,,,54.6,3.3,47.1,132.6,,,316,262,396,1120,170,1,,,,,WR
346,Tommy Tremble,TE,TE44,TE54,TE51,TE-T7,CAR,5,26.2,6,6'4",250,4.6,1,5,,,,54.2,6,37.5,121.3,50.4,15,350.79,290,400,1004,170,1,,,,,TE
347,Ja'Tavion Sanders,TE,TE45,TE51,TE44,TE-T7,CAR,5,23.4,3,6'4",252,4.69,1,-10,,,,53.6,7.4,38.9,102,39.5,12,336.64,246,398,466,169.9,1,,,,,TE
348,Brenen Thompson,WR,WR103,WR130,WR128,WR-T11,LAC,7,23.1,R,5'9",170,4.26,1,-30,,,,53.4,3.6,46.2,118.2,,,318.05,234,382,1079,170,1,,,,,WR
349,Roschon Johnson,RB,RB84,RB104,RB114,RB-T7,CHI,10,25.6,4,6'0",227,4.58,1,-35,,,,53.3,3.7,36.3,152.2,1.7,6,313.63,233,387,1368,170,1,ADD,,,,RB
350,Reggie Virgil,WR,WR104,WR154,WR145,WR-T11,ARI,14,22.3,R,6'2",187,4.57,1,-9,,,,53.2,2.2,48.8,125.1,,,341.25,287,391,1261,170,1,,,,,WR
351,Dohnte Meyers,WR,WR105,WR116,WR141,WR-T11,CIN,6,26.2,1,5'11",186,,1,-53,,,,53.1,1.3,45.9,132.5,,,298.2,239,376,1206,170,1,,,,,WR
352,Xavier Legette,WR,WR106,WR99,WR83,WR-T11,CAR,5,25.6,3,6'3",227,4.39,1,-82,,,,53,1.4,38.8,127.4,71.8,15,269.99,197,335,326,170.7,2,,,,,WR
353,Hollywood Brown,WR,WR107,WR113,WR119,WR-T11,PHI,10,,,,,,1,-61,,,,52.2,1.4,41.5,127.1,,,291.83,241,363,1046,170,1,,,,,WR
354,Marvin Mims Jr.,WR,WR108,WR101,WR93,WR-T11,DEN,10,24.5,4,5'11",182,4.38,1,-82,,,,52.2,1.4,38.7,126.2,70.5,15,271.92,221,340,370,170.1,3,,,,,WR
355,Roman Wilson,WR,WR109,WR118,WR126,WR-T11,PIT,9,25.2,3,5'10",186,4.39,1,-54,,,,51.6,1.5,34.4,121.7,32.6,9,301.1,225,375,1074,170,1,,,,,WR
356,Charlie Kolar,TE,TE46,TE36,TE59,TE-T7,LAC,7,27.6,5,6'6",250,,1,-72,,,,51.5,7.1,37.3,110.7,31.2,13,283.6,196,361,1031,170,1,ADD,,,,TE
357,Trevor Etienne,RB,RB85,RB96,RB117,RB-T7,CAR,5,22.1,2,5'9",204,4.42,1,-56,,,,51.4,3.5,35.1,145.2,12.2,17,301.12,237,354,1402,169.9,1,,,,,RB
358,Jalen Milroe,QB,QB52,QB42,QB54,QB-T8,SEA,11,23.7,2,6'2",216,,1,-17,,,,51.3,0.3,19.5,168.8,-1.6,3,341,326,356,1404,170,1,,,,,QB
359,Quinn Ewers,QB,QB53,QB44,QB49,QB-T8,JAC,7,23.3,,6'2",209,,1,-12,,,,51.3,0.3,19.5,168.8,32.7,4,346.5,346,347,1225,170,1,,,,,QB
360,Cooper Kupp,WR,WR110,WR82,WR82,WR-T11,SEA,11,33.2,10,6'2",205,4.62,1,-135,155.5,-204,-13,51.2,3,41.8,115.1,92.8,16,225.03,149,298,322,169.3,13,,,,,WR
361,Tyson Bagent,QB,QB54,QB47,QB45,QB-T8,CHI,10,26.2,4,6'3",213,4.79,1,-11,,,,50.6,0.3,19.2,166.5,2.6,2,350.33,333,372,483,170,1,,,,,QB
362,Keenan Allen,WR,WR111,WR71,WR67,WR-T11,IND,13,34.3,14,6'2",211,4.58,1,-170,145.3,-217,130,50.4,2.9,45.5,114.7,142.2,17,192.19,110,293,212,165.8,27,,,,,WR
363,Tyler Higbee,TE,TE47,TE47,TE47,TE-T7,LAR,11,33.7,11,6'6",253,4.77,1,-38,,,,50.2,8.2,36.4,107.9,58.6,10,325.16,274,375,469,169.9,2,,,,,TE
364,Elijah Arroyo,TE,TE48,TE42,TE40,TE-T7,SEA,11,23.4,2,6'5",254,,1,-54,,,,50.1,8.2,36.3,95.4,29.4,13,310.25,259,363,459,169.9,2,,,,,TE
365,Bam Knight,RB,RB86,RB102,RB92,RB-T7,ARI,14,25.4,4,5'11",209,,1,-54,,,,49.9,1.8,36,122.5,81.9,12,310.5,237,383,430,170.1,1,,,,,RB
366,Kaytron Allen,RB,RB87,RB66,RB88,RB-T7,WAS,7,23.6,R,5'11",217,,1,-130,,,,49.9,0.9,33.4,133.3,,,235.83,152,324,401,170.1,5,,,,,RB
367,LeQuint Allen Jr.,RB,RB88,RB79,RB73,RB-T7,JAC,7,22.1,2,6'0",201,,1,-103,,,,49.9,0.7,32.9,118,19.8,16,264.39,145,337,344,170.4,1,,,,,RB
368,Malik Davis,RB,RB89,RB69,RB67,RB-T7,DAL,14,27.8,3,5'11",205,,1,-130,,,45,49.9,0,33.4,112.3,39.6,10,237.71,146,315,325,170.5,9,ADD,,,,RB
369,Jaleel McLaughlin,RB,RB90,RB98,,RB-T7,CLE,11,26,4,5'9",183,,1,-65,,,,49.3,0,31.1,158.2,29.4,8,303.86,242,379,,,1,,,,,RB
370,Dont'e Thornton Jr.,WR,WR112,WR151,WR154,WR-T11,LV,13,23.8,2,6'5",205,4.3,1,-32,,,,49.3,1.8,44.5,110.8,18.5,11,338.3,286,397,1405,170,1,,,,,WR
371,Konata Mumpfield,WR,WR113,WR121,WR135,WR-T11,LAR,11,23.9,2,6'1",188,4.59,1,-59,,,,48.8,2.8,44.1,111.1,20.2,10,311.95,247,383,1133,170,1,,,,,WR
372,Zavion Thomas,WR,WR114,WR143,WR117,WR-T11,CHI,10,22.5,R,5'10",190,4.28,1,-41,,,,48.8,2.8,39.8,109.7,,,331.31,262,438,1029,169.9,2,,,,,WR
373,Sione Vaki,RB,RB91,RB110,RB90,RB-T7,DET,6,25.1,3,5'11",216,4.62,1,-53,,,,48.7,0,31.5,156.3,0.4,8,320.1,194,381,403,170.1,1,,,,,RB
374,Christian Kirk,WR,WR115,WR103,WR147,WR-T11,SF,8,29.8,9,5'11",200,4.47,1,-101,,,,48.5,1.8,39.6,109,43.9,11,273.41,205,383,1334,169.9,2,,,,,WR
375,Jordan James,RB,RB92,RB78,RB78,RB-T7,SF,8,22.4,2,5'9",208,4.55,1,-111,,,,48.4,0,30.5,155.4,,,264.32,164,397,351,170.4,4,,,,,RB
376,Ben Sinnott,TE,TE49,TE58,TE65,TE-T7,WAS,7,24.2,3,6'4",245,4.68,1,-20,,,,48.4,7.9,35.1,92.1,22.9,9,355.95,331,388,1088,170,1,,,,,TE
377,Theo Wease Jr.,WR,WR116,WR155,,WR-T11,LAC,7,25.2,1,6'2",210,4.56,1,-36,,,,48.4,1.8,39.5,108.8,22.9,3,341.33,246,416,,,1,,,,,WR
